VD_hat,VF_hat,VP_hat,CFP_hat,V_adj_hat,SE_adj_hat,design_id,n_stage1_per_form,n_stage2_per_order,total_response_burden,total_participants,repeated_measurement_participants,scenario_id,phase,true_change_logit,R,valid_n
0.022732629683213084,0.00011231170486346212,0.00022792248919690456,-1.2416681499078213e-07,0.023072300593660847,0.15107490314498112,GBM01-N1-300-N2-050,300,50,14400,700,100,S02,screen,0.0,3000,2967
0.0263996952815295,0.00013389615964565918,0.000265087644734911,2.447628207269357e-07,0.02679756954987037,0.16286797107482961,GBM01-N1-300-N2-050,300,50,14400,700,100,S03,screen,0.0,3000,2970
0.014740400897654493,6.689800466169431e-05,0.00014835720429554188,3.543534667253294e-07,0.01495480525945898,0.12148158788385814,GBM01-N1-300-N2-050,300,50,14400,700,100,S04,screen,0.0,3000,2967
0.022025023962610024,0.00010767031906629996,0.00022049187990720958,2.790139043306862e-07,0.022352975136553058,0.148686074804906,GBM01-N1-300-N2-050,300,50,14400,700,100,S05,screen,0.0,3000,2974
0.027466285497961887,0.00012458087863031662,0.00027606541822989113,1.0859457749650866e-06,0.02786570323568479,0.16599497515810138,GBM01-N1-300-N2-050,300,50,14400,700,100,S06,screen,0.0,3000,2963
0.0277145984889298,0.00012492185332675404,0.00027744248582277993,4.4204017483246764e-07,0.028116704864359326,0.16675407811293635,GBM01-N1-300-N2-050,300,50,14400,700,100,S07,screen,0.0,3000,2966
0.03259611670255739,0.000139668494065928,0.0003268710773577803,3.221229426030299e-07,0.03306197289495288,0.18078103808555882,GBM01-N1-300-N2-050,300,50,14400,700,100,S08,screen,0.0,3000,2967
0.025788127250640804,0.00011979801153227974,0.00025911961969713615,-1.6413431714679587e-06,0.026165969825538128,0.16085508532224438,GBM01-N1-300-N2-050,300,50,14400,700,100,S09,screen,0.0,3000,2855
0.023191764400396837,5.5670342492379435e-05,5.8119279989496225e-05,-2.3819349897696812e-08,0.023305284839816778,0.15245415401752482,GBM01-N1-050-N2-200,50,200,16200,500,400,S01,screen,0.0,3000,2973
0.022822748379700504,5.463483080956316e-05,5.699812571831137e-05,5.5216063481418726e-08,0.02293449333488634,0.1512433152991365,GBM01-N1-050-N2-200,50,200,16200,500,400,S02,screen,0.0,3000,2976
0.026521057542047907,6.375123586483495e-05,6.636899796310129e-05,8.15275916320283e-08,0.026651051851227327,0.16304662461277172,GBM01-N1-050-N2-200,50,200,16200,500,400,S03,screen,0.0,3000,2960
0.01492606049768474,3.554486759545732e-05,3.7409901025438146e-05,1.3683623635896872e-08,0.01499883508032212,0.12227143026330431,GBM01-N1-050-N2-200,50,200,16200,500,400,S04,screen,0.0,3000,2972
0.02208596515099619,5.282408287004894e-05,5.516866258880251e-05,3.733813229058882e-07,0.022194046217290143,0.14876714598500393,GBM01-N1-050-N2-200,50,200,16200,500,400,S05,screen,0.0,3000,2975
0.027700070754779222,6.572651536286557e-05,6.909665743177672e-05,2.4559752519490487e-07,0.027835184782433773,0.166605100008856,GBM01-N1-050-N2-200,50,200,16200,500,400,S06,screen,0.0,3000,2962
0.027664916433311277,6.579982660995534e-05,6.91812820071979e-05,1.3319324907476844e-07,0.02779985972121685,0.1664946704886571,GBM01-N1-050-N2-200,50,200,16200,500,400,S07,screen,0.0,3000,2968
0.03265560468510403,7.740481986470483e-05,8.178443097246217e-05,2.974098826980634e-07,0.032814518904276176,0.18088307074500345,GBM01-N1-050-N2-200,50,200,16200,500,400,S08,screen,0.0,3000,2970
0.025849700622467966,6.16460609731024e-05,6.465511169871789e-05,-6.762288603762175e-07,0.02597594180361274,0.160939671218459,GBM01-N1-050-N2-200,50,200,16200,500,400,S09,screen,0.0,3000,2926
0.023244313729553177,6.594835423204813e-05,7.74616308030743e-05,4.035374824090539e-10,0.023387747098257416,0.15265267090747925,GBM01-N1-150-N2-150,150,150,16200,600,300,S01,screen,0.0,3000,2967
0.022835591930483803,6.483901920040272e-05,7.593504726140507e-05,1.6077636250351355e-07,0.022976679377693505,0.1512962048371762,GBM01-N1-150-N2-150,150,150,16200,600,300,S02,screen,0.0,3000,2960
0.026552637928976344,7.612598471810317e-05,8.8570124451544e-05,-6.680855878498183e-08,0.026717219677593752,0.16317749748302865,GBM01-N1-150-N2-150,150,150,16200,600,300,S03,screen,0.0,3000,2971
0.015010970961118721,4.140255158056304e-05,4.98951808216361e-05,-1.6536086647206977e-08,0.015102501827369302,0.12261611517754983,GBM01-N1-150-N2-150,150,150,16200,600,300,S04,screen,0.0,3000,2970
0.02207407191080576,6.262268559507218e-05,7.355410712620303e-05,4.677633859636736e-07,0.02221029381446922,0.14875724840540458,GBM01-N1-150-N2-150,150,150,16200,600,300,S05,screen,0.0,3000,2962
0.027635750408725016,7.668035451084663e-05,9.226081273424766e-05,2.7063130903502875e-07,0.02780445519656622,0.1664269504427745,GBM01-N1-150-N2-150,150,150,16200,600,300,S06,screen,0.0,3000,2977
