design_id,n_stage1_per_form,n_stage2_per_order,total_response_burden,total_participants,repeated_measurement_participants,scenario_id,phase,true_change_logit,R,valid_n,ab_count,ba_count,false_reliable_change_rate,false_reliable_change_ci_low,false_reliable_change_ci_high,false_increase_rate,false_decrease_rate,indeterminate_rate,indeterminate_ci_low,indeterminate_ci_high,se_signed_rel_bias,se_signed_rel_bias_ci_low,se_signed_rel_bias_ci_high,se_abs_rel_error,se_abs_rel_error_ci_low,se_abs_rel_error_ci_high,form_bias_norm,form_bias_norm_ci_low,form_bias_norm_ci_high,practice_bias_norm,practice_bias_norm_ci_low,practice_bias_norm_ci_high
GBM01-N1-050-N2-075,50,75,7200,250,150,S02,screen,0.0,3000,2971,1500,1500,0.061,0.05068430418606185,0.07325322378658364,0.028666666666666667,0.03233333333333333,0.009666666666666667,0.006026789013377336,0.015470632131468182,-0.0017866181976609592,-0.005886715176949764,0.0023134787816278457,0.06904384875301446,0.06656020960166042,0.0715274879043685,-0.0004102378120398759,-0.004031170374518391,0.0032106947504386392,-0.0002895295629529589,-0.004095998141084119,0.0035169390151782018
GBM01-N1-050-N2-075,50,75,7200,250,150,S03,screen,0.0,3000,2973,1500,1500,0.05633333333333333,0.04643722944098404,0.068187561547316,0.03166666666666667,0.024666666666666667,0.009,0.0055166755619983614,0.014650354585083519,-0.003428692875198645,-0.007354420415153077,0.0004970346647557872,0.06622722850145411,0.06385112411129434,0.06860333289161388,-0.001057630840556667,-0.004560721435860234,0.0024454597547469,0.0004362033894998013,-0.0033929805160048776,0.00426538729500448
GBM01-N1-050-N2-075,50,75,7200,250,150,S04,screen,0.0,3000,2957,1500,1500,0.06833333333333333,0.05739483359729579,0.0811769953507497,0.039,0.029333333333333333,0.014333333333333333,0.00971953762913326,0.021090620500057708,-0.007729440373075354,-0.012169284368052537,-0.0032895963780981714,0.07552900864663417,0.07287533744924353,0.07818267984402481,-9.558411028438445e-05,-0.0037216114243208325,0.0035304432037520633,-0.0008405508809293763,-0.004570949930744461,0.002889848168885709
GBM01-N1-050-N2-075,50,75,7200,250,150,S05,screen,0.0,3000,2971,1500,1500,0.05433333333333333,0.04462322107290078,0.06601039692210836,0.02666666666666667,0.027666666666666666,0.009666666666666667,0.006026789013377336,0.015470632131468182,0.0004880724396927609,-0.003612145282310355,0.004588290161695877,0.06888789956450496,0.06639573015137969,0.07138006897763023,0.0007280397913493452,-0.002901850316548251,0.004357929899246941,-0.002166152060740938,-0.005895022349685387,0.001562718228203511
GBM01-N1-050-N2-075,50,75,7200,250,150,S06,screen,0.0,3000,2964,1500,1500,0.05333333333333334,0.04371769460207437,0.06492033689628932,0.026333333333333334,0.027,0.012,0.007849758859317126,0.018304030777701114,-0.0037095761710451273,-0.007960341094215635,0.0005411887521253804,0.07209481704493165,0.06955297665176817,0.07463665743809512,0.002522755462016103,-0.0011220847736968017,0.006167595697729008,-0.0013851672653450448,-0.005254852141128378,0.0024845176104382888
GBM01-N1-050-N2-075,50,75,7200,250,150,S07,screen,0.0,3000,2970,1500,1500,0.05433333333333333,0.04462322107290078,0.06601039692210836,0.03,0.024333333333333332,0.01,0.006283801751578197,0.015878814892149137,-0.0037907571544516937,-0.007997970450129389,0.0004164561412260009,0.07102113245230444,0.06847932130456998,0.07356294360003891,0.002811954215108779,-0.0007854625458533901,0.006409370976070948,-0.0006199931988476568,-0.00434140768109431,0.003101421283398996
GBM01-N1-050-N2-075,50,75,7200,250,150,S08,screen,0.0,3000,2961,1500,1500,0.056,0.04613462719335834,0.06782496829605988,0.027,0.029,0.013,0.008646080030504492,0.019503296103159207,-0.0047460716991232195,-0.008993459301042723,-0.0004986840972037165,0.07139896632389856,0.06881750392001847,0.07398042872777864,0.0020853061187279635,-0.0014625981286210225,0.00563321036607695,-0.0004575235618372446,-0.004281500582988096,0.0033664534593136064
GBM01-N1-050-N2-075,50,75,7200,250,150,S09,screen,0.0,3000,2942,1500,1500,0.051333333333333335,0.041909728013384454,0.06273713049168833,0.03,0.021333333333333333,0.019333333333333334,0.01383934158201449,0.02694874903040375,-0.004225931926287959,-0.00835675634086231,-9.510751171360778e-05,0.07023364552371508,0.06778912504735952,0.07267816600007064,-0.017412291519326877,-0.020953682223032205,-0.013870900815621548,0.003032317532866,-0.0008319895004777447,0.0068966245662097445
GBM01-N1-050-N2-100,50,100,9000,300,200,S01,screen,0.0,3000,2958,1500,1500,0.05466666666666667,0.04492528526158589,0.06637352823230508,0.029333333333333333,0.025333333333333333,0.014,0.009450007097834473,0.02069495553247468,-0.001262477392880561,-0.004850281359736297,0.0023253265739751746,0.060068713003100564,0.057882449982850324,0.062254976023350804,0.0009430245256441878,-0.0021881453639379465,0.004074194415226322,0.0034867463729345714,0.00010815670159956044,0.0068653360442695825
GBM01-N1-050-N2-100,50,100,9000,300,200,S02,screen,0.0,3000,2982,1500,1500,0.058,0.04795179775338438,0.06999897072932477,0.029,0.029,0.006,0.0033020669503808645,0.010878203706764653,-0.002575503072170184,-0.006075607072665308,0.0009246009283249402,0.059508382922561345,0.05741466946869144,0.06160209637643125,-0.002127709243786214,-0.005319633205549885,0.001064214717977457,-0.0006478923992433428,-0.003974227602279699,0.0026784428037930135
GBM01-N1-050-N2-100,50,100,9000,300,200,S03,screen,0.0,3000,2961,1500,1500,0.047,0.03800756505983372,0.05799175195977541,0.021,0.026,0.013,0.008646080030504492,0.019503296103159207,0.0005040947700446904,-0.0029485156404082786,0.00395670518049766,0.05820618465542709,0.056126061757643016,0.06028630755321116,-0.0026854986762639694,-0.005871699005880509,0.0005007016533525701,0.002363703652745881,-0.0010016209107998678,0.00572902821629163
GBM01-N1-050-N2-100,50,100,9000,300,200,S04,screen,0.0,3000,2963,1500,1500,0.06,0.0497725968037077,0.07216934467229234,0.028666666666666667,0.03133333333333333,0.012333333333333333,0.008114301233505893,0.01870468390239417,-0.003537427886503754,-0.00745900039172582,0.0003841446187183113,0.06625637779960025,0.06389558484700973,0.06861717075219077,0.0008877841141524727,-0.00226358569466695,0.004039153922971895,-0.0005607216332198595,-0.0038714306465206564,0.0027499873800809374
GBM01-N1-050-N2-100,50,100,9000,300,200,S05,screen,0.0,3000,2969,1500,1500,0.052,0.04251191679605569,0.06346533270678072,0.027333333333333334,0.024666666666666667,0.010333333333333333,0.006542037223830099,0.01628577491877905,-0.0012959933120195233,-0.004871944267775998,0.002279957643736951,0.060189754915438605,0.05802354207634955,0.06235596775452766,-0.0014644076867567598,-0.004706218539434851,0.0017774031659213315,0.0027668021156582426,-0.000561984451573416,0.006095588682889902
